Name of School,Address,Town,Latitude,Longitude,Category of School,Private or Public (GES Schools),Region,District,Circuit,First Name,Last Name,Contact Number,Contact Email,Number of Classrooms,Boarding Facilities?,Sanitary Facilities?,Science or Teachnical Laboratory?,Assembly Hall?,Library Facilities?,Dining Facilities?,School Bus?,Sporting Facilities?,Staff Accommodation?,Description
TAPAMAN SENIOR HIGH/TECH SCHOOL,,"TAPA-
AMANFROM",7.465621822,0.342735085,SHS,Public,OTI,BIAKOYE,,,,+233 24 252 3771,tapamanshst@ges.gov.gh,,NO,,,,,,,,,
BOWIRI COMM. DAY SCHOOL,,BOWIRI,7.318121097,0.321612395,SHS,Public,OTI,BIAKOYE,,,,242165043,bowiricommdayshs@ges.gov.gh,,NO,,,,,,,,,
NKONYA SENIOR HIGH SCHOOL,,"NKONYA-
AHENKRO",7.137251718,0.325035895,SHS,Public,OTI,BIAKOYE,,,,554104276,nkonyashs@ges.gov.gh,,YES,,,,,,,,,
BIAKOYE COMM. DAY SCHOOL,,KWAMEKROM,7.180730311,0.333970349,SHS,Public,OTI,BIAKOYE,,,,+233 24 313 1823,biakoyecommdayshs@ges.gov.gh,,NO,,,,,,,,,
BUEMAN SENIOR HIGH SCHOOL,,JASIKAN,7.422205768,0.463151853,SHS,Public,OTI,JASIKAN,,,,243268412,buemanshs@ges.gov.gh,,YES,,,,,,,,,
OKADJAKROM SENIOR HIGH/TECH SCHOOL,,OKADJAKROM,7.410325362,0.455165166,SHS,Public,OTI,JASIKAN,,,,+233 50 981 3305,okadjakromshst@ges.gov.gh,,YES,,,,,,,,,
BAGLO  RIDGE SENIOR HIGH/TECH SCHOOL,,BAGLO,7.292168588,0.5942747,SHS,Public,OTI,JASIKAN,,,,244821454,bagloridgeshst@ges.gov.gh,,NO,,,,,,,,,
FR. DOGLI MEMORIAL VOC.TECH. INST.,,NEW AYOMA,7.292051526,0.594242514,SHS,Public,OTI,JASIKAN,,,,244821454,frdoglimemorialtechvocinst@ges.gov.gh,,YES,,,,,,,,,
AHAMANSU ISLAMIC SENIOR HIGH SCHOOL,,AHAMANSU,7.733614151,0.549979847,SHS,Public,OTI,KADJEBI,,,,+233 57 161 5912,ahamansuislamicshs@ges.gov.gh,,NO,,,,,,,,,
DODI-PAPASE SENIOR HIGH/TECH SCHOOL,,DODI PAPASE,7.723677262,0.509776037,SHS,Public,OTI,KADJEBI,,,,548625867,dodipapaseshst@ges.gov.gh,,YES,,,,,,,,,
KADJEBI-ASATO SENIOR HIGH SCHOOL,,KADJETO-ASATO,7.537018924,0.462599726,SHS,Public,OTI,KADJEBI,,,,246446401,kadjebiasatoshs@ges.gov.gh,,YES,,,,,,,,,
OTI SENIOR HIGH/TECH SCHOOL,,DAMBAI,8.049017857,0.190867226,SHS,Public,OTI,KRACHI EAST,,,,+233 50 916 0003,otishst@ges.gov.gh,,YES,,,,,,,,,
YABRAM COMM. DAY SCHOOL,,DAMBAI,8.043683077,0.242288423,SHS,Public,OTI,KRACHI EAST,,,,544099376,yabramcommdayshs@ges.gov.gh,,NO,,,,,,,,,
ASUKAWKAW SENIOR HIGH SCHOOL,,ASUKAWKAW,7.66455732,0.454298327,SHS,Public,OTI,KRACHI EAST,,,,+233 24 367 1070,asukawkawshs@ges.gov.gh,,YES,,,,,,,,,
NCHUMURUMAN COMM. DAY SENIOR HIGH SCHOOL,,[NEAR] TEGBI,7.691995207,0.457933217,SHS,Public,OTI,KRACHI NCHUMURU,,,,+233 24 138 7417,nchumurumancommdayshs@ges.gov.gh,,NO,,,,,,,,,
KETE KRACHI SENIOR HIGH/TECH SCHOOL,,KETE-KRACHI,7.800226652,-0.046430717,SHS,Public,OTI,KRACHI WEST,,,,242755812,ketekrachishst@ges.gov.gh,,NO,,,,,,,,,
KRACHI SENIOR HIGH SCHOOL,,KETE-KRACHI,7.800258541,-0.046473632,SHS,Public,OTI,KRACHI WEST,,,,242755812,krachishs@ges.gov.gh,,YES,,,,,,,,,
KPASSA SENIOR HIGH/TECH SCHOOL,,KPASSA,8.498372359,0.297909268,SHS,Public,OTI,NKWANTA NORTH,,,,+233 24 478 8554,kpassashst@ges.gov.gh,,YES,,,,,,,,,
NKWANTA SENIOR HIGH SCHOOL,,NKWANTA,8.270433423,0.515104158,SHS,Public,OTI,NKWANTA SOUTH,,,,545167983,nkwantashs@ges.gov.gh,,YES,,,,,,,,,
NKWANTA COMM SENIOR HIGH SCHOOL,,NKWANTA,8.275265022,0.509038999,SHS,Public,OTI,NKWANTA SOUTH,,,,+233 24 371 7375,nkwantacommshs@ges.gov.gh,,NO,,,,,,,,,
KYABOBO GIRLS SENIOR HIGH SCHOOL,,NKWANTA,8.261640942,0.517151383,SHS,Public,OTI,NKWANTA SOUTH,,,,+233 50 684 33740,kyabobogirlsshs@ges.gov.gh,,NO,,,,,,,,,
NTRUBOMAN SENIOR HIGH SCHOOL,,BREWANIASE,8.003595746,0.550806068,SHS,Public,OTI,NKWANTA SOUTH,,,,240968960,ntrubomanshs@ges.gov.gh,,YES,,,,,,,,,
BAMBOI COMM. SENIOR HIGH SCHOOL,,BAMBOI,8.175016148,-2.024217032,SHS,Public,SAVANNAH,BOLE,,,,+233 (0)24 3443761,bamboicommshs@ges.gov.gh,,NO,,,,,,,,,
BOLE SENIOR HIGH SCHOOL,,BOLE,9.031636889,-2.478970288,SHS,Public,SAVANNAH,BOLE,,,,509398915,boleshs@ges.gov.gh,,YES,,,,,,,,,
"ST. ANTHONY OF PADUA SENIOR HIGH/TECH
SCHOOL",,BAMBOI,8.801583195,-1.485240936,SHS,Public,SAVANNAH,BOLE,,,,020 831 9382,stanthonyofpaduashs@ges.gov.gh,,NO,,,,,,,,,
BUIPE SENIOR HIGH SCHOOL,,BUIPE,8.801220892,-1.485145174,SHS,Public,SAVANNAH,CENTRAL GONJA,,,,+233 24 967 5753,buipeshs@ges.gov.gh,,YES,,,,,,,,,
BUIPE TECH/VOC INST.,,BUIPE,8.800987636,-1.485145174,TVET,Public,SAVANNAH,CENTRAL GONJA,,,,+233 24 967 5753,buipetechvocinst@ges.gov.gh,,NO,,,,,,,,,
MPAHA COMMUNITY DAY SENIOR HIGH SCHOOL,,MPAHA,8.736803855,-1.127523105,SHS,Public,SAVANNAH,CENTRAL GONJA,,,,200657669,mphashs@ges.gov.gh,,NO,,,,,,,,,
SALAGA SENIOR HIGH SCHOOL,,SALAGA,8.54212432,-0.511604201,SHS,Public,SAVANNAH,EAST GONJA,,,,509897368,salagashs@ges.gov.gh,,YES,,,,,,,,,
SALAGA T.I. AHMAD SENIOR HIGH SCHOOL,,SALAGA,8.54545539,-0.511593676,SHS,Public,SAVANNAH,EAST GONJA,,,,509897368,salagatiahmadiyyashs@ges.gov.gh,,YES,,,,,,,,,
DABOYA COMM. DAY SCHOOL,,DABOYA,9.534098012,-3.780542158,SHS,Public,SAVANNAH,NORTH GONJA,,,,(0)24 938 0988,daboyacommshs@ges.gov.gh,,NO,,,,,,,,,
TUNA SENIOR HIGH/TECH SCHOOL,,TUNA,9.495212375,-2.418487747,SHS,Public,SAVANNAH,SAWLA-TUNA-KALBA,,,,024 515 0311,tunashst@ges.gov.gh,,YES,,,,,,,,,
SAWLA SENIOR HIGH SCHOOL,,SAWLA,9.26084374,-2.39362659,SHS,Public,SAVANNAH,SAWLA-TUNA-KALBA,,,,024 444 1344,sawlashs@ges.gov.gh,,YES,,,,,,,,,
NDEWURA JAKPA SENIOR HIGH/TECH SCHOOL,,DAMONGO,9.085023838,-1.811343734,SHS,Public,SAVANNAH,WEST GONJA,,,,054 612 9224,ndewurajakpashst@ges.gov.gh,,YES,,,,,,,,,
DAMONGO SENIOR HIGH SCHOOL,,DAMONGO,9.085272184,-1.829773844,SHS,Public,SAVANNAH,WEST GONJA,,,,+233 (0)243418541,damongoshs@ges.gov.gh,,YES,,,,,,,,,
BAWKU TECH. INST.,,BAWKU KPALUGU,11.05135376,-0.267367974,TECH,Public,UPPER EAST,BAWKU EAST,,,,382222248,bawkutechinst@ges.gov.gh,,NO,,,,,,,,,
BAWKU SENIOR HIGH/TECH SCHOOL,,BAWKU,11.05997229,-0.24775171,SHS,Public,UPPER EAST,BAWKU MUNICIPAL,,,,209744844,bawkushst@ges.gov.gh,,YES,,,,,,,,,
BAWKU SENIOR HIGH SCHOOL,,BAWKU,11.06036175,-0.247741029,SHS,Public,UPPER EAST,BAWKU MUNICIPAL,,,,+233 382 222 201,bawkushs@ges.gov.gh,,YES,,,,,,,,,
ZEBILLA SENIOR HIGH/TECH SCHOOL,,ZEBILLA,10.92834161,-0.487658474,SHS,Public,UPPER EAST,BAWKU WEST,,,,+233 54 799 2708,zebillashst@ges.gov.gh,,YES,,,,,,,,,
KUSANABA SENIOR HIGH SCHOOL,,KUSANABA,10.74961628,-0.490503661,SHS,Public,UPPER EAST,BAWKU WEST,,,,246169306,kusanabashs@ges.gov.gh,,YES,,,,,,,,,
BINDURI COMM. SENIOR HIGH SCHOOL,,BINDURI,10.97233261,-0.306627703,SHS,Public,UPPER EAST,BINDURI,,,,+233 54 799 2708,binduricommshs@ges.gov.gh,,NO,,,,,,,,,
GAMBIGO COMM. DAY SENIOR HIGH SCHOOL,,GAMBIGO,9.54414908,-0.90559793,SHS,Public,UPPER EAST,BOLGA EAST,,,,244835408,gambigocommshs@ges.gov.gh,,NO,,,,,,,,,
BOLGA TECH. INST.,,BOLGATANGA,10.80642338,-0.874341117,TECH,Public,UPPER EAST,BOLGATANGA,,,,206431932,bolgatechinst@ges.gov.gh,,YES,,,,,,,,,
BOLGA GIRLS SENIOR HIGH SCHOOL,,"ZAARE-
BOLGATANGA",10.80659783,-0.867800705,SHS,Public,UPPER EAST,BOLGATANGA MUNICIPAL,,,,243187889,bolgagirlsshs@ges.gov.gh,,YES,,,,,,,,,
ZUARUNGU SENIOR HIGH SCHOOL,,ZUARUNGU,10.79330696,-0.808142877,SHS,Public,UPPER EAST,BOLGATANGA MUNICIPAL,,,,024 318 7889,zuarungushs@ges.gov.gh,,YES,,,,,,,,,
BOLGA SHERIGU COMM. SENIOR HIGH SCHOOL,,BOLGA,10.7811797,-0.902944921,SHS,Public,UPPER EAST,BOLGATANGA MUNICIPAL,,,,545439631,bolgasherigucommshs@ges.gov.gh,,NO,,,,,,,,,
ZAMSE SENIOR HIGH/TECH SCHOOL,,BOLGATANGA,10.77512206,-0.859884002,SHS,Public,UPPER EAST,BOLGATANGA MUNICIPAL,,,,244768811,zamseshst@ges.gov.gh,,YES,,,,,,,,,
AZEEM-NAMOA SENIOR HIGH/TECH SCHOOL,,"SAMBOLIGO
AMANGA NABIISI",10.98731111,-0.822078601,SHS,Public,UPPER EAST,BONGO,,,,+233 24 476 8811,azeemnamoashst@ges.gov.gh,,NO,,,,,,,,,
BONGO SENIOR HIGH SCHOOL,,BONGO,10.91232777,-0.810622613,SHS,Public,UPPER EAST,BONGO,,,,024 476 8811,bongoshs@ges.gov.gh,,YES,,,,,,,,,
ZORKOR SENIOR HIGH SCHOOL,,ZORKOR,10.79852126,-1.05874225,SHS,Public,UPPER EAST,BONGO,,,,200232386,zorkorshs@ges.gov.gh,,YES,,,,,,,,,
GOWRIE SENIOR HIGH/TECH SCHOOL,,GOWRIE,10.84347829,-0.829539737,SHS,Public,UPPER EAST,BONGO,,,,243461152,gowrieshst@ges.gov.gh,,YES,,,,,,,,,
SANDEMA SENIOR HIGH SCHOOL,,SANDEMA,10.70233517,-1.276202534,SHS,Public,UPPER EAST,BUILSA NORTH,,,,302012345,sandemashs@ges.gov.gh,,YES,,,,,,,,,
SANDEMA SENIOR HIGH/TECH SCHOOL,,DAMPONG,10.76760822,-1.24728131,SHS,Public,UPPER EAST,BUILSA NORTH,,,,030 201 2345,sandemashst@ges.gov.gh,,NO,,,,,,,,,
WIAGA COMM. SENIOR HIGH SCHOOL,,WIAGA,"10?39'34.2""N","1?16'09.1""W",SHS,Public,UPPER EAST,BUILSA NORTH,,,,020 063 2028,wiagacommshs@ges.gov.gh,,NO,,,,,,,,,
KANJAGA COMM. SENIOR HIGH SCHOOL,,KANJAGA,10.5287,-1.3615,SHS,Public,UPPER EAST,BUILSA NORTH,,,,242550015,kanjagacommshs@ges.gov.gh,,NO,,,,,,,,,
FUMBISI SENIOR HIGH SCHOOL,,FUMBISI,"10?27'14.4""N","1?17'33.0""W",SHS,Public,UPPER EAST,BUILSA SOUTH,,,,507171115,fumbisishs@ges.gov.gh,,YES,,,,,,,,,
GARU COMM. DAY SENIOR HIGH SCHOOL,,GARU,"10?50'52.8""N","0?11'23.8""W",SHS,Public,UPPER EAST,GARU TEMPANE,,,,024 932 6292,garucommshs@ges.gov.gh,,NO,,,,,,,,,
TEMPANE SENIOR HIGH SCHOOL,,TEMPANE,"10?51'31.4""N","0?07'42.3""W",SHS,Public,UPPER EAST,GARU TEMPANI,,,,024 514 5457,tempaneshs@ges.gov.gh,,YES,,,,,,,,,
O.L.L. GIRLS SENIOR HIGH SCHOOL,,NAVRONGO,"10?48'02.8""N˜","˜1?04'17.4""W",SHS,Public,UPPER EAST,KASENA-NANKANI,,,,055 148 6711,ourladyoflourdesgilrlsshs@ges.gov.gh,,YES,,,,,,,,,
AWE SENIOR HIGH/TECH SCHOOL,,NAVRONGO,"10?55'20.6""N","1?06'31.9""W",SHS,Public,UPPER EAST,"KASENA-NANKANI
MUNICIPAL",,,,024 459 3157,aweshst@ges.gov.gh,,YES,,,,,,,,,
"ST. JOHN'S INTEGRATED SENIOR HIGH/TECH
SCHOOL",,TONO,"5?38'22.4""N","0?14'42.6""W",SHS,Public,UPPER EAST,"KASENA-NANKANI
MUNICIPAL",,,,024 459 8569,stjohnsintegratedshst@ges.gov.gh,,YES,,,,,,,,,
"NOTRE DAME SEM/ SENIOR HIGH SCHOOL
NAVRONGO",,NAVRONGO,"10?53'00.6""N˜","1?04'20.6""W",SHS,Public,UPPER EAST,"KASENA-NANKANI
MUNICIPAL",,,,024 459 9652,notredamesemshs@ges.gov.gh,,YES,,,,,,,,,
NAVRONGO SENIOR HIGH SCHOOL,,"JANANIA-
NAVRONGO","10?51'31.7""N","1?04'09.8""W",SHS,Public,UPPER EAST,"KASENA-NANKANI
MUNICIPAL",,,,024 474 0594,navrongoshs@ges.gov.gh,,YES,,,,,,,,,
PAGA SENIOR HIGH SCHOOL,,PAGA,"10?58'06.9""N","1?04'09.5""W",SHS,Public,UPPER EAST,KASENA-NANKANI WEST,,,,024 311 3849,pagashs@ges.gov.gh,,NO,,,,,,,,,
SIRIGU INTEGRATED SENIOR HIGH SCHOOL,,SIRIGU,"10?56'54.2""N","0?56'30.7""W",SHS,Public,UPPER EAST,KASENA-NANKANI WEST,,,,054 873 6683,sirigushs@ges.gov.gh,,YES,,,,,,,,,
NABANGO SENIOR HIGH SCHOOL,,NABANGO,"10?55'55.1""N","0?58'26.4""W",SHS,Public,UPPER EAST,KASENA-NANKANI WEST,,,,020 840 6898,nabangoshs@ges.gov.gh,,NO,,,,,,,,,
MIRIGU COMMUNITY DAY SENIOR HIGH SCHOOL,,MIRIGU,"10?54'05.1""N","0?59'59.9""W",SHS,Public,UPPER EAST,KASENA-NANKANI WEST,,,,553360342,mirigucommshs@ges.gov.gh,,NO,,,,,,,,,
CHIANA SENIOR HIGH SCHOOL,,CHIANA,"10?50'54.9""N","1?16'15.3""W",SHS,Public,UPPER EAST,KASENA-NANKANI WEST,,,,024 528 1175,chianashs@ges.gov.gh,,YES,,,,,,,,,
ST. BERNADETTES TECH/VOC. INST.,,NAVRONGO,10.8861,-1.0713˜,TVET,Public,UPPER EAST,KASSENA NANAKANA EAST,,,,206696176,stbernadettestechvocinst@ges.gov.gh,,YES,,,,,,,,,
KONGO SENIOR HIGH SCHOOL,,KONGO,"11?01'57.3""N","0?38'43.6""W",SHS,Public,UPPER EAST,NABDAM,,,,209783068,kongoshs@ges.gov.gh,,YES,,,,,,,,,
TONGO SENIOR HIGH/TECH SCHOOL,,TONGO,"6?36'21.9""N","0?10'51.1""E",SHS,Public,UPPER EAST,TALENSI,,,,+233 24 429 1932,tongoshst@ges.gov.gh,,NO,,,,,,,,,
BOLGATANGA SENIOR HIGH SCHOOL,,BOLGATANGA,"10?43'26.8""N","0?51'41.5""W",SHS,Public,UPPER EAST,TALENSI,,,,024 495 3559,bolgatangashs@ges.gov.gh,,YES,,,,,,,,,
DAFFIAMAH SENIOR HIGH SCHOOL,,DAFFIAMAH,"10?25'28.2""N","˜2?33'22.8""W",SHS,Public,UPPER WEST,BUSSIE-ISSA,,,,054 800 2351,daffiamahshs@ges.gov.gh,,YES,,,,,,,,,
ULLO SENIOR HIGH SCHOOL,,ULLO,"10?41'27.0""N","2?33'56.3""W",SHS,Public,UPPER WEST,JIRAPA,,,,˜024 262 9225,ulloshs@ges.gov.gh,,YES,,,,,,,,,
HAN SENIOR HIGH SCHOOL,,JIRAPA,10.68552?,-2.45971?,SHS,Public,UPPER WEST,JIRAPA,,,,˜024 629 8232,hanshs@ges.gov.gh,,NO,,,,,,,,,
JIRAPA SENIOR HIGH SCHOOL,,JIRAPA-TOWN,"10?32'33.9""N˜","2?41'47.2""W",SHS,Public,UPPER WEST,JIRAPA,,,,020 826 6486,jirapashs@ges.gov.gh,,YES,,,,,,,,,
"ST. FRANCIS GIRLS SENIOR HIGH SCHOOL, JIRAPA",,JIRAPA,"10?30'37.4""N","2?41'41.9""W",SHS,Public,UPPER WEST,JIRAPA,,,,024 023 2966,stfrancisgirlsshs@ges.gov.gh,,YES,,,,,,,,,
PIINA SENIOR HIGH SCHOOL,,PIINA,"10?51'00.0""N","2?37'00.0""W",SHS,Public,UPPER WEST,LAMBUSIE-KARNI,,,,246777289,piinashs@ges.gov.gh,,YES,,,,,,,,,
LAMBUSSIE COMM SENIOR HIGH SCHOOL,,LAMBUSSIE,"10?50'45.6""N","˜2?42'34.4""W",SHS,Public,UPPER WEST,LAMBUSIE-KARNI,,,,020 833 2251,lambussiecommshs@ges.gov.gh,,NO,,,,,,,,,
EREMON SENIOR HIGH/TECH SCHOOL,,EREMON,"10?39'41.3""N","2?49'04.6""W",SHS,Public,UPPER WEST,LAWRA,,,,˜024 497 0628,eremonshst@ges.gov.gh,,YES,,,,,,,,,
LAWRA SENIOR HIGH SCHOOL,,LAWRA,"10?38'10.2""N","2?52'35.6""W",SHS,Public,UPPER WEST,LAWRA,,,,˜054 125 8888,lawrashs@ges.gov.gh,,YES,,,,,,,,,
BIRIFOH SENIOR HIGH SCHOOL,,LAWRA,"10?31'13.7""N","2?51'08.3""W",SHS,Public,UPPER WEST,LAWRA,,,,020 033 2425,birifohshs@ges.gov.gh,,NO,,,,,,,,,
"QUEEN OF PEACE SENIOR HIGH SCHOOL, NADOWLI",,NADOWLI,"10?22'30.5""N","2?41'06.2""W",SHS,Public,UPPER WEST,NADOWLI,,,,024 137 8587,queenofpeaceshs@ges.gov.gh,,YES,,,,,,,,,
"ST. AUGUSTINE SENIOR HIGH/TECH SCHOOL, SAAN
CHARIKPONG",,"SAAN,
CHARIKPONG","5?06'09.6""N","1?15'48.4""W",SHS,Public,UPPER WEST,NADOWLI,,,,202369592,st.augustinecharikpongshst@ges.gov.gh,,YES,,,,,,,,,
TAKPO SENIOR HIGH SCHOOL,,TAKPO,"10?07'33.6""N","2?29'15.7""W",SHS,Public,UPPER WEST,NADOWLI,,,,024 064 2230,takposhst@ges.gov.gh,,NO,,,,,,,,,
KALEO SENIOR HIGH/TECH SCHOOL,,KALEO,"10?15'36.3""N˜","2?31'53.6""W",SHS,Public,UPPER WEST,NADOWLI,,,,039 202 0580,kaleoshst@ges.gov.gh,,YES,,,,,,,,,
ST. BASILIDES VOC./TECH. INST.,,KALEO,"9?54'44.8""N","2?24'05.0""W",SHS,Public,UPPER WEST,NADOWLI KALEO,,,,024 823 4852,stbasilidestechvocinst@ges.gov.gh,,YES,,,,,,,,,
SOMBO SENIOR HIGH SCHOOL,,SOMBO,"10?15'23.4""N","˜2?33'10.1""W",SHS,Public,UPPER WEST,NADOWLI/KALEO,,,,020 906 1016,somboshs@ges.gov.gh,,NO,,,,,,,,,
NANDOM SENIOR HIGH SCHOOL,,NANDOM,"10?52'29.8""N","˜2?45'52.4""W",SHS,Public,UPPER WEST,NANDOM,,,,024 414 2039,nandomshs@ges.gov.gh,,YES,,,,,,,,,
HOLY FAMILY SENIOR HIGH SCHOOL,,HAMILE,"10?59'24.1""N","2?44'35.5""W",SHS,Public,UPPER WEST,NANDOM,,,,054 221 7350,holyfamilyshs@ges.gov.gh,,YES,,,,,,,,,
ST.JOHN'S VOC. TECH. INSTITUTE,,NANDOM,"10?51'09.3""N","2?45'38.0""W",TECH,Public,UPPER WEST,NANDOM,,,,054 232 4483,stjohnstechvocinst@ges.gov.gh,,YES,,,,,,,,,
KO SENIOR HIGH SCHOOL,,KO-NANDOM,"10?47'26.5""N","2?43'59.8""W",SHS,Public,UPPER WEST,NANDOM,,,,024 938 6284,koshs@ges.gov.gh,,YES,,,,,,,,,
TUMU SENIOR HIGH/TECH SCHOOL,,TUMU,"10?52'40.7""N","1?58'31.1""W",SHS,Public,UPPER WEST,SISALA EAST,,,,542708233,tumushst@ges.gov.gh,,YES,,,,,,,,,
KANTON SENIOR HIGH SCHOOL,,TUMU,"5?35'30.9""N","0?14'58.1""W",SHS,Public,UPPER WEST,SISALA EAST,,,,392020854,kantonshs@ges.gov.gh,,YES,,,,,,,,,
DR. HILA LIMAN SENIOR  HIGH SCHOOL,,GWOLLU,"11?03'39.7""N","2?10'46.4""W",SHS,Public,UPPER WEST,SISALA WEST,,,,240392636,drhilalimanshs@ges.gov.gh,,YES,,,,,,,,,
LOGGU COMM. DAY SCHOOL,,LOGGU,9.89701,-2.345478,SHS,Public,UPPER WEST,WA EAST,,,,244948690,loggucommshs@ges.gov.gh,,NO,,,,,,,,,
FUNSI SENIOR HIGH SCHOOL,,FUNSI,"9?48'03.4""N","2?29'24.8""W",SHS,Public,UPPER WEST,WA EAST,,,,24482260,funsishs@ges.gov.gh,,YES,,,,,,,,,
"T. I. AHMADIYYA SENIOR HIGH SCHOOL, WA",,WA,"10?06'02.0""N","2?33'22.0""W",SHS,Public,UPPER WEST,WA MUNICIPAL,,,,+233 24 698 5569,tiahmadiyyawashs@ges.gov.gh,,YES,,,,,,,,,
NORTHERN STAR SENIOR HIGH SCHOOL,,"MANGU, WA","10?02'59.4""N","2?28'57.3""W",SHS,Public,UPPER WEST,WA MUNICIPAL,,,,(0)242-667-691),northernstarshs@ges.gov.gh,,NO,,,,,,,,,
"JAMIAT AL-HIDAYA ISLAMIC GIRLS SENIOR HIGH
SCHOOL",,WA,"10?15'07.8""N","2?08'27.2""W",SHS,Public,UPPER WEST,WA MUNICIPAL,,,,+233 24 451 1164,jamiatalhidayaislamicgirlsshs@ges.gov.gh,,YES,,,,,,,,,
WA SENIOR HIGH/TECH SCHOOL,,WA,"10?02'57.1""N","2?29'28.3""W",SHS,Public,UPPER WEST,WA MUNICIPAL,,,,+233 39 202 2047,washst@ges.gov.gh,,YES,,,,,,,,,
WA SENIOR HIGH SCHOOL,,WA,"10?02'57.1""N","2?29'28.3""W",SHS,Public,UPPER WEST,WA MUNICIPAL,,,,+233 39 202 2047,washs@ges.gov.gh,,YES,,,,,,,,,
WA TECH. INST.,,WA,"10?02'19.5""N","2?30'19.1""W",TECH,Public,UPPER WEST,WA MUNICIPAL,,,,˜039 2022908,watechinst@ges.gov.gh,,YES,,,,,,,,,
"ISLAMIC SENIOR HIGH SCHOOL, WA",,WA,"10?05'06.0""N˜","2?30'51.9""W",SHS,Public,UPPER WEST,WA MUNICIPAL,,,,+533 24 226 8958,islamicwashs@ges.gov.gh,,YES,,,,,,,,,
LASSIE-TUOLU SENIOR HIGH SCHOOL,,LASSIE,"9?50'47.0""N","2?35'59.7""W",SHS,Public,UPPER WEST,WA WEST,,,,+233 54 799 2708,lassietuolushs@ges.gov.gh,,YES,,,,,,,,,
ABUADI/TSREFE SENIOR HIGH SCHOOL,,"ADAKLU -
ABUADI","6?30'43.7""N","0?29'59.4""E",SHS,Public,VOLTA,ADAKLU,,,,026 478 8251,abuaditsrefecomm.shs@ges.gov.gh,,NO,,,,,,,,,
ADAKLU SENIOR HIGH SCHOOL,,ADAKLU,"6?26'47.6""N","0?37'42.5""E",SHS,Public,VOLTA,ADAKLU-ANYIGBE,,,,+233 55 718 1799,adaklushs@ges.gov.gh,,YES,,,,,,,,,
VE COMM. SENIOR HIGH SCHOOL,,VE-KOLOENU,"7?02'43.2""N","0?25'49.2""E",SHS,Public,VOLTA,AFADZATO SOUTH,,,,024 670 9103,vecommshs@ges.gov.gh,,YES,,,,,,,,,
LEKLEBI SENIOR HIGH SCHOOL,,LEKLEBI,"6?57'32.0""N","0?29'38.9""E",SHS,Public,VOLTA,AFADZATO SOUTH,,,,+233 24 411 6308,leklebishs@ges.gov.gh,,YES,,,,,,,,,
JIM BOURTON MEM AGRIC. SENIOR HIGH SCHOOL,,LOGBA ADZOKOE,"6?54'15.9""N","0?26'23.5""E",SHS,Public,VOLTA,AFADZATO SOUTH,,,,091- 95320,jimbourtonmemagricshs@ges.gov.gh,,YES,,,,,,,,,
AGATE COMM. SENIOR HIGH SCHOOL,,AGATE,"6?44'51.8""N","0?21'10.4""E",SHS,Public,VOLTA,AFADZATO SOUTH,,,,+233 24 352 2318,agatecommshs@ges.gov.gh,,YES,,,,,,,,,
ST. DANIEL COMBONI TECH/VOC INST.,,LIATI,"6?58'57.6""N","0?29'21.4""E",TVET,Public,VOLTA,AFADZTO SOUTH,,,,024 412 5707,stdanielcombonitechvocinst@ges.gov.gh,,YES,,,,,,,,,
HAVE TECH. INST.,,HAVE,"6?45'48.2""N","0?21'51.3""E",TECH,Public,VOLTA,AFADZTO SOUTH,,,,036 209 5185,havetechinst@ges.gov.gh,,YES,,,,,,,,,
AGOTIME SENIOR HIGH SCHOOL,,KPETOE,"6?33'08.3""N","0?41'45.3""E",SHS,Public,VOLTA,AGORTIME ZIOPE,,,,+233 20 378 3717,agotimeshs@ges.gov.gh,,YES,,,,,,,,,
ZIOPE SENIOR HIGH SCHOOL,,ZIOPE,"6?25'36.1""N","0?43'57.9""E",SHS,Public,VOLTA,AGORTIME ZIOPE,,,,024 442 8421,ziopeshs@ges.gov.gh,,NO,,,,,,,,,
AKATSI SENIOR HIGH/TECH SCHOOL,,AKATSI,"6?07'59.3""N","0?47'10.8""E",SHS,Public,VOLTA,AKATSI,,,,+233 20 764 7628,akatsishst@ges.gov.gh,,YES,,,,,,,,,
AVE SENIOR HIGH SCHOOL,,AVE-DAKPA,"6?21'58.4""N","0?50'53.6""E",SHS,Public,VOLTA,AKATSI NORTH,,,,+233 24 346 5799,aveshs@ges.gov.gh,,YES,,,,,,,,,
AVENOR SENIOR HIGH SCHOOL,,AVENORKPEME,"6?00'00.2""N","0?49'09.1""E",SHS,Public,VOLTA,AKATSI SOUTH,,,,+233 24 544 0191,avenorshs@ges.gov.gh,,NO,,,,,,,,,
ABOR SENIOR HIGH SCHOOL,,ABOR,"6?03'49.1""N","0?51'43.8""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,+233 20 827 2768,aborshs@ges.gov.gh,,YES,,,,,,,,,
ANLO AFIADENYIGBA SENIOR HIGH SCHOOL,,"ANLO
AFIADENYIGBA","6?02'44.0""N","0?58'40.3""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,+233 24 301 6791,anloafiadenyigbashs@ges.gov.gh,,YES,,,,,,,,,
TSIAME SENIOR HIGH SCHOOL,,TSIAME,"6?00'37.0""N","0?51'38.1""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,+233 24 221 4414,tsiameshs@ges.gov.gh,,NO,,,,,,,,,
